4K&8K,#genre#
安多卫视,http://gslbservzqhsw.itv.cmvideo.cn/0000000000001000/1000000005000266001/index.m3u8?livemode=1&stbId=10&channel-id=ystenlive&Contentid=1000000005000266001
兵团卫视,http://gslbservzqhsw.itv.cmvideo.cn/0000000000001000/1000000005000266005/index.m3u8?livemode=1&stbId=10&channel-id=ystenlive&Contentid=1000000005000266005#http://gslbservzqhsw.itv.cmvideo.cn/000000001000/1000000005000266005/1.m3u8?channel-i
江苏仪化电视,http://192.168.6.1:35455/tptv/HD-4000k-1080P-jsyihua.m3u8
上海东方卫视,http://192.168.6.1:35455/itv/6000000001000003639.m3u8?cdn=wasusyt#http://192.168.6.1:35455/itv/5000000004000014098.m3u8?cdn=bestzb#http://192.168.6.1:35455/itv/1000000005000265018.m3u8?cdn=ystenlive
上海-ICS-外语,http://192.168.6.1:35455/itv/5000000010000030951.m3u8?cdn=bestzb
上海第一财经,http://192.168.6.1:35455/itv/5000000010000027146.m3u8?cdn=bestzb
上海东方财经,http://192.168.6.1:35455/itv/5000000007000010003.m3u8?cdn=bestzb
江苏财富天下,http://gslbservzqhsw.itv.cmvideo.cn/5000000011000031208/index.m3u8?channel-id=bestzb&Contentid=5000000011000031208&livemode=1&stbId=3
上海东方影视,http://192.168.6.1:35455/itv/5000000010000032212.m3u8?cdn=bestzb
上海都市,http://192.168.6.1:35455/itv/5000000010000018926.m3u8?cdn=bestzb
上海法治天地,http://192.168.6.1:35455/itv/2000000002000000014.m3u8?cdn=hnbblive#http://192.168.6.1:35455/itv/9001547084732463424.m3u8?cdn=bestzb
上海哈哈炫动,http://192.168.6.1:35455/itv/5000000011000031123.m3u8?cdn=bestzb
上海五星体育,http://192.168.6.1:35455/itv/5000000010000017540.m3u8?cdn=bestzb
上海新闻综合,http://192.168.6.1:35455/itv/5000000011000031110.m3u8?cdn=bestzb
SiTV-动漫秀场,http://192.168.6.1:35455/itv/5000000011000031113.m3u8?cdn=bestzb
SiTV-都市剧场,http://192.168.6.1:35455/itv/5000000011000031111.m3u8?cdn=bestzb
SiTV-欢笑剧场,http://192.168.6.1:35455/itv/5000000002000009455.m3u8?cdn=bestzb
SiTV-乐游,http://192.168.6.1:35455/itv/5000000011000031112.m3u8?cdn=bestzb
SiTV-魅力足球,http://192.168.6.1:35455/itv/5000000011000031207.m3u8?cdn=bestzb
SiTV-七彩戏剧,http://192.168.6.1:35455/itv/5000000011000031116.m3u8?cdn=bestzb
SiTV-生活时尚,http://192.168.6.1:35455/itv/5000000002000019634.m3u8?cdn=bestzb
SiTV-游戏风云,http://192.168.6.1:35455/itv/5000000011000031114.m3u8?cdn=bestzb
港澳台,#genre#
凤凰卫视香港,http://192.168.6.1:35455/tptv/HD-10000k-1080P-fhhongkong5s.m3u8
凤凰卫视中文,http://192.168.6.1:35455/tptv/HD-10000k-1080P-fhchinese5s.m3u8
凤凰卫视资讯,http://192.168.6.1:35455/tptv/HD-10000k-1080P-fhzixun5s.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8#http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=3c732f93c14e1bc0c07641df-156388849014752&wsIPSercert=8de23d0849e78e3b16ec92a809235421&wsMonitor=0#http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=8ee59707fee3ef96c922e680-167055218938751&wsIPSercert=d24f6d7c9d3646d9533d492d5209384b&wsMonitor=0#http://zhibo.hkstv.tv/livestream/mutfysrq.flv
myTV SUPER 18台,http://aktv.top/AKTV/live/aktv/mytvsuper18/AKTV.m3u8
Now星影台,http://aktv.top/AKTV/live/aktv/now/AKTV.m3u8
PopC,http://aktv.top/AKTV/live/aktv/popc/AKTV.m3u8
TVB Plus,http://aktv.top/AKTV/live/aktv/tvbplus/AKTV.m3u8
TVBS,http://aktv.top/AKTV/live/aktv/tvbs/AKTV.m3u8
TVBS-新闻台,http://aktv.top/AKTV/live/aktv/tvbs-1/AKTV.m3u8
三立綜合台,http://aktv.top/AKTV/live/aktv/null-13/AKTV.m3u8
三立财经新闻,http://aktv.top/AKTV/live/aktv/null-14/AKTV.m3u8
